username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2015-03-05 16:55;389;363;"Ringling Brothers is phasing out their elephants. I,for one, will never go again. They probably used the animal rights stuff to reduce costs";;;;"573632902149378048";https://twitter.com/realDonaldTrump/status/573632902149378048
realDonaldTrump;2015-03-05 16:04;69;118;"Every sport evolves. Every sport gets bigger and more athletic, and you have to keep up. -- Tiger Woods";;;;"573620239432302592";https://twitter.com/realDonaldTrump/status/573620239432302592
realDonaldTrump;2015-03-05 15:57;498;552;"Because of Rodolfo Rosas Moya, who owes me lots of money, Mexico will never again host the Miss Universe Pageant.";;;;"573618377740124160";https://twitter.com/realDonaldTrump/status/573618377740124160
realDonaldTrump;2015-03-05 15:52;135;138;"Despite Mexico's interest in again hosting the Miss Universe Pageant, it will be because of Rodolfo Rosas Moya that it will never happen.";;;;"573617193654575104";https://twitter.com/realDonaldTrump/status/573617193654575104
realDonaldTrump;2015-03-05 15:51;1341;875;"I hope the Mexican judge is more honest than the Mexican businessmen who used the court system to avoid paying me the money they owe me.";;;;"573616949957124096";https://twitter.com/realDonaldTrump/status/573616949957124096
realDonaldTrump;2015-03-05 13:28;203;205;"The mark of a great player is in his ability to come back. The great champions have all come back from defeat. -- Sam Snead";;;;"573580929299582976";https://twitter.com/realDonaldTrump/status/573580929299582976
realDonaldTrump;2015-03-05 13:25;79;105;"Placing the ball in the right position for the next shot is eighty percent of winning golf. -- Ben Hogan";;;;"573580122516819969";https://twitter.com/realDonaldTrump/status/573580122516819969
realDonaldTrump;2015-03-05 06:17;5;14;"" @jlawfriedman : @realDonaldTrump The property and course look spectacular! #trumpworthy " Thank you!";;@jlawfriedman @realDonaldTrump;#trumpworthy;"573472287632023552";https://twitter.com/realDonaldTrump/status/573472287632023552
realDonaldTrump;2015-03-05 06:15;6;14;"" @bahia6085 : @TrumpFerryPoint @realDonaldTrump WOW!"";;@bahia6085 @TrumpFerryPoint @realDonaldTrump;;"573471879052292096";https://twitter.com/realDonaldTrump/status/573471879052292096
realDonaldTrump;2015-03-05 06:13;6;40;"" @LakersCanes305 : On my way to @TrumpDoral What better way to start my 10th wedding anniversary! @realDonaldTrump";;@LakersCanes305 @TrumpDoral @realDonaldTrump;;"573471346241368065";https://twitter.com/realDonaldTrump/status/573471346241368065
realDonaldTrump;2015-03-05 06:12;6;11;"" @belllabooo13 : @realDonaldTrump Congrats. Have a great time! God Bless ! How about a hole in one!!!!"";;@belllabooo13 @realDonaldTrump;;"573471130230657024";https://twitter.com/realDonaldTrump/status/573471130230657024
realDonaldTrump;2015-03-05 06:11;14;24;"" @anthonyjmyers : Looking at @realDonaldTrump compared to every other 2016 candidate give me hope. #Trump2016 WE CAN DO THIS "";;@anthonyjmyers @realDonaldTrump;#Trump2016;"573470801304772608";https://twitter.com/realDonaldTrump/status/573470801304772608
realDonaldTrump;2015-03-05 05:04;46;76;"Trump National Doral will have big crowds this weekend for the WGC. THE BLUE MONSTER IS READY FOR THE WORLD'S TOP FIFTY PLAYERS!";;;;"573453918711222272";https://twitter.com/realDonaldTrump/status/573453918711222272
realDonaldTrump;2015-03-05 04:58;8;13;"" @LakersCanes305 : @TrumpDoral @realDonaldTrump I'll b there in a couple hours! Can't wait to see what this place looks like!";;@LakersCanes305 @TrumpDoral @realDonaldTrump;;"573452447634591744";https://twitter.com/realDonaldTrump/status/573452447634591744
realDonaldTrump;2015-03-05 04:52;11;25;"" @ElianaBenador : #CPAC th crystal ball to see th future: True Conservative candidates will be sorely missing. None of them measures toTrump";;@ElianaBenador;#CPAC;"573450971851980801";https://twitter.com/realDonaldTrump/status/573450971851980801
realDonaldTrump;2015-03-04 20:02;44;89;"" @tharris012 : @realDonaldTrump for president"";;@tharris012 @realDonaldTrump;;"573317633224937472";https://twitter.com/realDonaldTrump/status/573317633224937472
realDonaldTrump;2015-03-04 20:00;28;51;"" @jamesmason1 : “ @realDonaldTrump : We create success or failure on the course primarily by our thoughts. -- Gary Player”"";;@jamesmason1 @realDonaldTrump;;"573317128310398977";https://twitter.com/realDonaldTrump/status/573317128310398977
realDonaldTrump;2015-03-04 19:59;8;40;"" @DanielPokorski : @realDonaldTrump Mr Trump You are the epitomy of class" Thanks.";;@DanielPokorski @realDonaldTrump;;"573316947313627136";https://twitter.com/realDonaldTrump/status/573316947313627136
realDonaldTrump;2015-03-04 19:59;22;50;"" @mbabramson : @realDonaldTrump Why are you the only candidate who discusses US trade imbalances with other countries? It's important!";;@mbabramson @realDonaldTrump;;"573316826815459329";https://twitter.com/realDonaldTrump/status/573316826815459329
